1024	32768
747	701
65	1022
653	33557
1016	32896
829	602
192	1006
549	33632
992	33022
898	494
317	974
436	33694
953	33144
953	377
436	927
317	33741
747	33468
1024	1
747	701
65	1022
653	33557
1016	32896
829	602
192	1006
549	33632
992	33022
898	494
317	974
436	33694
953	33144
953	377
436	927
65	33789
747	33468
1024	32768
747	701
65	1022
653	33557
1016	32896
829	602
192	1006
549	33632
992	33022
898	494
317	974
436	33694
953	33144
953	377
653	790
65	33789
747	33468
1024	32768
747	701
65	1022
653	33557
1016	32896
829	602
192	1006
549	33632
992	33022
898	494
317	974
436	33694
953	33144
1016	129
653	790
65	33789
747	33468
1024	32768
747	701
65	1022
653	33557
1016	32896
829	602
192	1006
549	33632
992	33022
898	494
317	974
436	33694
829	33369
1016	129
653	790
65	33789
747	33468
1024	1
747	701
65	1022
653	33557
1016	32896
829	602
192	1006
549	33632
992	33022
898	494
317	974
192	33773
829	33369
1016	129
653	790
65	33789
747	33468
1024	32768
747	701
65	1022
653	33557
1016	32896
829	602
192	1006
549	33632
992	33022
898	494
549	865
192	33773
829	33369
1016	129
653	790
65	33789
747	33468
1024	32768
747	701
65	1022
653	33557
1016	32896
829	602
192	1006
549	33632
992	33022
992	255
549	865
192	33773
829	33369
1016	129
653	790
65	33789
747	33468
1024	1
747	701
65	1022
653	33557
1016	32896
829	602
192	1006
549	33632
898	33261
992	255
549	865
192	33773
829	33369
1016	129
653	790
65	33789
747	33468
1024	32768
747	701
65	1022
653	33557
1016	32896
829	602
192	1006
317	33741
898	33261
992	255
549	865
192	33773
829	33369
1016	129
653	790
65	33789
747	33468
1024	32768
747	701
65	1022
653	33557
1016	32896
829	602
436	927
317	33741
898	33261
992	255
549	865
192	33773
829	33369
1016	129
653	790
65	33789
747	33468
1024	1
747	701
65	1022
653	33557
1016	32896
953	377
436	927
317	33741
898	33261
992	255
549	865
192	33773
829	33369
1016	129
653	790
65	33789
747	33468
1024	1
747	701
65	1022
653	33557
953	33144
953	377
436	927
317	33741
898	33261
992	255
549	865
192	33773
829	33369
1016	129
653	790
65	33789
747	33468
1024	32768
747	701
65	1022
436	33694
953	33144
953	377
436	927
317	33741
898	33261
992	255
549	865
192	33773
829	33369
1016	129
653	790
65	33789
747	33468
1024	32768
747	701
317	974
436	33694
953	33144
953	377
436	927
317	33741
898	33261
992	255
549	865
192	33773
829	33369
1016	129
653	790
65	33789
747	33468
1024	32768
