SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
7.000000;14;6456;0.430400;4989;5002;0;0;0;0;0;0;0
7.200000;14;6456;0.430400;4747;5002;0;0;0;0;0;0;0
7.400000;14;6456;0.430400;3451;5002;0;0;0;0;0;0;0
7.600000;14;6456;0.430400;1653;5002;0;0;0;0;0;0;0
7.800000;14;6456;0.430400;1000;8518;0;0;0;0;0;0;0
8.000000;14;6456;0.430400;574;10000;0;0;0;0;0;0;0
8.200000;14;6456;0.430400;393;10000;0;0;0;0;0;0;0
8.400000;14;6456;0.430400;363;10000;0;0;0;0;0;0;0
8.600000;14;6456;0.430400;302;10000;0;0;0;0;0;0;0
8.800000;14;6456;0.430400;274;10000;0;0;0;0;0;0;0
9.000000;14;6456;0.430400;240;10000;0;0;0;0;0;0;0
9.200000;14;6456;0.430400;212;10000;0;0;0;0;0;0;0
9.400000;14;6456;0.430400;197;10000;0;0;0;0;0;0;0
9.600000;14;6456;0.430400;164;10000;0;0;0;0;0;0;0
9.800000;14;6456;0.430400;151;10000;0;0;0;0;0;0;0
10.000000;14;6456;0.430400;114;10000;0;0;0;0;0;0;0
10.200000;14;6456;0.430400;114;10000;0;0;0;0;0;0;0
10.400000;14;6456;0.430400;96;10000;0;0;0;0;0;0;0
