SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-5.000000;2;1096;0.146133;5002;5002;0;0;0;0;0;0;0
-4.000000;2;1096;0.146133;5002;5002;0;0;0;0;0;0;0
-3.000000;2;1096;0.146133;5002;5002;0;0;0;0;0;0;0
-2.000000;2;1096;0.146133;4662;5002;0;0;0;0;0;0;0
-1.800000;2;1096;0.146133;3965;5002;0;0;0;0;0;0;0
-1.600000;2;1096;0.146133;2864;5002;0;0;0;0;0;0;0
-1.400000;2;1096;0.146133;1738;5002;0;0;0;0;0;0;0
-1.200000;2;1096;0.146133;1000;5646;0;0;0;0;0;0;0
-1.000000;2;1096;0.146133;894;10000;0;0;0;0;0;0;0
-0.800000;2;1096;0.146133;557;10000;0;0;0;0;0;0;0
-0.600000;2;1096;0.146133;474;10000;0;0;0;0;0;0;0
-0.400000;2;1096;0.146133;372;10000;0;0;0;0;0;0;0
-0.200000;2;1096;0.146133;345;10000;0;0;0;0;0;0;0
-0.000000;2;1096;0.146133;295;10000;0;0;0;0;0;0;0
0.200000;2;1096;0.146133;271;10000;0;0;0;0;0;0;0
0.400000;2;1096;0.146133;253;10000;0;0;0;0;0;0;0
0.600000;2;1096;0.146133;208;10000;0;0;0;0;0;0;0
0.800000;2;1096;0.146133;182;10000;0;0;0;0;0;0;0
1.000000;2;1096;0.146133;160;10000;0;0;0;0;0;0;0
1.200000;2;1096;0.146133;126;10000;0;0;0;0;0;0;0
1.400000;2;1096;0.146133;101;10000;0;0;0;0;0;0;0
1.600000;2;1096;0.146133;64;10000;0;0;0;0;0;0;0
