SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-7.000000;0;680;0.090667;5002;5002;0;0;0;0;0;0;0
-6.000000;0;680;0.090667;5002;5002;0;0;0;0;0;0;0
-5.000000;0;680;0.090667;5002;5002;0;0;0;0;0;0;0
-4.000000;0;680;0.090667;4993;5002;0;0;0;0;0;0;0
-3.800000;0;680;0.090667;4956;5002;0;0;0;0;0;0;0
-3.600000;0;680;0.090667;4792;5002;0;0;0;0;0;0;0
-3.400000;0;680;0.090667;4471;5002;0;0;0;0;0;0;0
-3.200000;0;680;0.090667;3795;5002;0;0;0;0;0;0;0
-3.000000;0;680;0.090667;2763;5002;0;0;0;0;0;0;0
-2.800000;0;680;0.090667;1786;5002;0;0;0;0;0;0;0
-2.600000;0;680;0.090667;1037;5002;0;0;0;0;0;0;0
-2.400000;0;680;0.090667;1000;8629;0;0;0;0;0;0;0
-2.200000;0;680;0.090667;744;10000;0;0;0;0;0;0;0
-2.000000;0;680;0.090667;537;10000;0;0;0;0;0;0;0
-1.800000;0;680;0.090667;443;10000;0;0;0;0;0;0;0
-1.600000;0;680;0.090667;401;10000;0;0;0;0;0;0;0
-1.400000;0;680;0.090667;352;10000;0;0;0;0;0;0;0
-1.200000;0;680;0.090667;270;10000;0;0;0;0;0;0;0
-1.000000;0;680;0.090667;218;10000;0;0;0;0;0;0;0
-0.800000;0;680;0.090667;225;10000;0;0;0;0;0;0;0
-0.600000;0;680;0.090667;188;10000;0;0;0;0;0;0;0
-0.400000;0;680;0.090667;159;10000;0;0;0;0;0;0;0
-0.200000;0;680;0.090667;156;10000;0;0;0;0;0;0;0
0.000000;0;680;0.090667;121;10000;0;0;0;0;0;0;0
0.200000;0;680;0.090667;93;10000;0;0;0;0;0;0;0
