SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-6.000000;1;904;0.120533;5002;5002;0;0;0;0;0;0;0
-5.000000;1;904;0.120533;5002;5002;0;0;0;0;0;0;0
-4.000000;1;904;0.120533;5002;5002;0;0;0;0;0;0;0
-3.000000;1;904;0.120533;4986;5002;0;0;0;0;0;0;0
-2.800000;1;904;0.120533;4893;5002;0;0;0;0;0;0;0
-2.600000;1;904;0.120533;4652;5002;0;0;0;0;0;0;0
-2.400000;1;904;0.120533;3991;5002;0;0;0;0;0;0;0
-2.200000;1;904;0.120533;3015;5002;0;0;0;0;0;0;0
-2.000000;1;904;0.120533;1817;5002;0;0;0;0;0;0;0
-1.800000;1;904;0.120533;1000;5112;0;0;0;0;0;0;0
-1.600000;1;904;0.120533;986;10000;0;0;0;0;0;0;0
-1.400000;1;904;0.120533;628;10000;0;0;0;0;0;0;0
-1.200000;1;904;0.120533;472;10000;0;0;0;0;0;0;0
-1.000000;1;904;0.120533;361;10000;0;0;0;0;0;0;0
-0.800000;1;904;0.120533;383;10000;0;0;0;0;0;0;0
-0.600000;1;904;0.120533;324;10000;0;0;0;0;0;0;0
-0.400000;1;904;0.120533;296;10000;0;0;0;0;0;0;0
-0.200000;1;904;0.120533;251;10000;0;0;0;0;0;0;0
0.000000;1;904;0.120533;209;10000;0;0;0;0;0;0;0
0.200000;1;904;0.120533;196;10000;0;0;0;0;0;0;0
0.400000;1;904;0.120533;171;10000;0;0;0;0;0;0;0
0.600000;1;904;0.120533;121;10000;0;0;0;0;0;0;0
0.800000;1;904;0.120533;100;10000;0;0;0;0;0;0;0
1.000000;1;904;0.120533;100;10000;0;0;0;0;0;0;0
1.200000;1;904;0.120533;72;10000;0;0;0;0;0;0;0
