SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
0.000000;7;3112;0.414933;5002;5002;0;0;0;0;0;0;0
1.000000;7;3112;0.414933;5002;5002;0;0;0;0;0;0;0
2.000000;7;3112;0.414933;4370;5002;0;0;0;0;0;0;0
2.200000;7;3112;0.414933;2883;5002;0;0;0;0;0;0;0
2.400000;7;3112;0.414933;1256;5002;0;0;0;0;0;0;0
2.600000;7;3112;0.414933;813;10000;0;0;0;0;0;0;0
2.800000;7;3112;0.414933;317;10000;0;0;0;0;0;0;0
3.000000;7;3112;0.414933;231;10000;0;0;0;0;0;0;0
3.200000;7;3112;0.414933;223;10000;0;0;0;0;0;0;0
3.400000;7;3112;0.414933;188;10000;0;0;0;0;0;0;0
3.600000;7;3112;0.414933;151;10000;0;0;0;0;0;0;0
3.800000;7;3112;0.414933;129;10000;0;0;0;0;0;0;0
4.000000;7;3112;0.414933;126;10000;0;0;0;0;0;0;0
4.200000;7;3112;0.414933;105;10000;0;0;0;0;0;0;0
4.400000;7;3112;0.414933;77;10000;0;0;0;0;0;0;0
