SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
4.000000;11;4392;0.292800;5002;5002;0;0;0;0;0;0;0
5.000000;11;4392;0.292800;4195;5002;0;0;0;0;0;0;0
5.200000;11;4392;0.292800;2379;5002;0;0;0;0;0;0;0
5.400000;11;4392;0.292800;1000;5623;0;0;0;0;0;0;0
5.600000;11;4392;0.292800;708;10000;0;0;0;0;0;0;0
5.800000;11;4392;0.292800;498;10000;0;0;0;0;0;0;0
6.000000;11;4392;0.292800;476;10000;0;0;0;0;0;0;0
6.200000;11;4392;0.292800;416;10000;0;0;0;0;0;0;0
6.400000;11;4392;0.292800;365;10000;0;0;0;0;0;0;0
6.600000;11;4392;0.292800;350;10000;0;0;0;0;0;0;0
6.800000;11;4392;0.292800;299;10000;0;0;0;0;0;0;0
7.000000;11;4392;0.292800;298;10000;0;0;0;0;0;0;0
7.200000;11;4392;0.292800;224;10000;0;0;0;0;0;0;0
7.400000;11;4392;0.292800;233;10000;0;0;0;0;0;0;0
7.600000;11;4392;0.292800;205;10000;0;0;0;0;0;0;0
7.800000;11;4392;0.292800;187;10000;0;0;0;0;0;0;0
8.000000;11;4392;0.292800;144;10000;0;0;0;0;0;0;0
8.200000;11;4392;0.292800;143;10000;0;0;0;0;0;0;0
8.400000;11;4392;0.292800;122;10000;0;0;0;0;0;0;0
8.600000;11;4392;0.292800;103;10000;0;0;0;0;0;0;0
8.800000;11;4392;0.292800;87;10000;0;0;0;0;0;0;0
