SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-3.000000;4;1800;0.240000;5002;5002;0;0;0;0;0;0;0
-2.000000;4;1800;0.240000;5002;5002;0;0;0;0;0;0;0
-1.000000;4;1800;0.240000;5002;5002;0;0;0;0;0;0;0
0.000000;4;1800;0.240000;3293;5002;0;0;0;0;0;0;0
0.200000;4;1800;0.240000;1897;5002;0;0;0;0;0;0;0
0.400000;4;1800;0.240000;1000;5935;0;0;0;0;0;0;0
0.600000;4;1800;0.240000;809;10000;0;0;0;0;0;0;0
0.800000;4;1800;0.240000;540;10000;0;0;0;0;0;0;0
1.000000;4;1800;0.240000;399;10000;0;0;0;0;0;0;0
1.200000;4;1800;0.240000;356;10000;0;0;0;0;0;0;0
1.400000;4;1800;0.240000;334;10000;0;0;0;0;0;0;0
1.600000;4;1800;0.240000;242;10000;0;0;0;0;0;0;0
1.800000;4;1800;0.240000;260;10000;0;0;0;0;0;0;0
2.000000;4;1800;0.240000;209;10000;0;0;0;0;0;0;0
2.200000;4;1800;0.240000;169;10000;0;0;0;0;0;0;0
2.400000;4;1800;0.240000;170;10000;0;0;0;0;0;0;0
2.600000;4;1800;0.240000;128;10000;0;0;0;0;0;0;0
2.800000;4;1800;0.240000;113;10000;0;0;0;0;0;0;0
3.000000;4;1800;0.240000;93;10000;0;0;0;0;0;0;0
