SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
9.000000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
10.000000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
11.000000;19;9144;0.406400;4673;5002;0;0;0;0;0;0;0
11.200000;19;9144;0.406400;3216;5002;0;0;0;0;0;0;0
11.400000;19;9144;0.406400;1198;5002;0;0;0;0;0;0;0
11.600000;19;9144;0.406400;614;10000;0;0;0;0;0;0;0
11.800000;19;9144;0.406400;303;10000;0;0;0;0;0;0;0
12.000000;19;9144;0.406400;221;10000;0;0;0;0;0;0;0
12.200000;19;9144;0.406400;201;10000;0;0;0;0;0;0;0
12.400000;19;9144;0.406400;182;10000;0;0;0;0;0;0;0
12.600000;19;9144;0.406400;129;10000;0;0;0;0;0;0;0
12.800000;19;9144;0.406400;120;10000;0;0;0;0;0;0;0
13.000000;19;9144;0.406400;116;10000;0;0;0;0;0;0;0
13.200000;19;9144;0.406400;106;10000;0;0;0;0;0;0;0
13.400000;19;9144;0.406400;89;10000;0;0;0;0;0;0;0
