SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
5.000000;12;4968;0.331200;5002;5002;0;0;0;0;0;0;0
6.000000;12;4968;0.331200;989;10000;0;0;0;0;0;0;0
6.200000;12;4968;0.331200;689;10000;0;0;0;0;0;0;0
6.400000;12;4968;0.331200;598;10000;0;0;0;0;0;0;0
6.600000;12;4968;0.331200;521;10000;0;0;0;0;0;0;0
6.800000;12;4968;0.331200;475;10000;0;0;0;0;0;0;0
7.000000;12;4968;0.331200;420;10000;0;0;0;0;0;0;0
7.200000;12;4968;0.331200;417;10000;0;0;0;0;0;0;0
7.400000;12;4968;0.331200;423;10000;0;0;0;0;0;0;0
7.600000;12;4968;0.331200;367;10000;0;0;0;0;0;0;0
7.800000;12;4968;0.331200;355;10000;0;0;0;0;0;0;0
8.000000;12;4968;0.331200;287;10000;0;0;0;0;0;0;0
8.200000;12;4968;0.331200;283;10000;0;0;0;0;0;0;0
8.400000;12;4968;0.331200;250;10000;0;0;0;0;0;0;0
8.600000;12;4968;0.331200;212;10000;0;0;0;0;0;0;0
8.800000;12;4968;0.331200;217;10000;0;0;0;0;0;0;0
9.000000;12;4968;0.331200;186;10000;0;0;0;0;0;0;0
9.200000;12;4968;0.331200;152;10000;0;0;0;0;0;0;0
9.400000;12;4968;0.331200;109;10000;0;0;0;0;0;0;0
9.600000;12;4968;0.331200;122;10000;0;0;0;0;0;0;0
9.800000;12;4968;0.331200;90;10000;0;0;0;0;0;0;0
