SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
1.000000;8;3496;0.466133;5002;5002;0;0;0;0;0;0;0
2.000000;8;3496;0.466133;5002;5002;0;0;0;0;0;0;0
3.000000;8;3496;0.466133;1000;5120;0;0;0;0;0;0;0
3.200000;8;3496;0.466133;550;10000;0;0;0;0;0;0;0
3.400000;8;3496;0.466133;204;10000;0;0;0;0;0;0;0
3.600000;8;3496;0.466133;147;10000;0;0;0;0;0;0;0
3.800000;8;3496;0.466133;159;10000;0;0;0;0;0;0;0
4.000000;8;3496;0.466133;119;10000;0;0;0;0;0;0;0
4.200000;8;3496;0.466133;101;10000;0;0;0;0;0;0;0
4.400000;8;3496;0.466133;85;10000;0;0;0;0;0;0;0
