SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-4.000000;3;1416;0.188800;5002;5002;0;0;0;0;0;0;0
-3.000000;3;1416;0.188800;5002;5002;0;0;0;0;0;0;0
-2.000000;3;1416;0.188800;5002;5002;0;0;0;0;0;0;0
-1.000000;3;1416;0.188800;4371;5002;0;0;0;0;0;0;0
-0.800000;3;1416;0.188800;3447;5002;0;0;0;0;0;0;0
-0.600000;3;1416;0.188800;2019;5002;0;0;0;0;0;0;0
-0.400000;3;1416;0.188800;1008;5002;0;0;0;0;0;0;0
-0.200000;3;1416;0.188800;1000;9959;0;0;0;0;0;0;0
-0.000000;3;1416;0.188800;626;10000;0;0;0;0;0;0;0
0.200000;3;1416;0.188800;508;10000;0;0;0;0;0;0;0
0.400000;3;1416;0.188800;425;10000;0;0;0;0;0;0;0
0.600000;3;1416;0.188800;376;10000;0;0;0;0;0;0;0
0.800000;3;1416;0.188800;330;10000;0;0;0;0;0;0;0
1.000000;3;1416;0.188800;303;10000;0;0;0;0;0;0;0
1.200000;3;1416;0.188800;246;10000;0;0;0;0;0;0;0
1.400000;3;1416;0.188800;204;10000;0;0;0;0;0;0;0
1.600000;3;1416;0.188800;200;10000;0;0;0;0;0;0;0
1.800000;3;1416;0.188800;171;10000;0;0;0;0;0;0;0
2.000000;3;1416;0.188800;160;10000;0;0;0;0;0;0;0
2.200000;3;1416;0.188800;121;10000;0;0;0;0;0;0;0
2.400000;3;1416;0.188800;116;10000;0;0;0;0;0;0;0
2.600000;3;1416;0.188800;84;10000;0;0;0;0;0;0;0
