SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-1.000000;6;2600;0.346667;5002;5002;0;0;0;0;0;0;0
0.000000;6;2600;0.346667;5002;5002;0;0;0;0;0;0;0
1.000000;6;2600;0.346667;4802;5002;0;0;0;0;0;0;0
1.200000;6;2600;0.346667;4047;5002;0;0;0;0;0;0;0
1.400000;6;2600;0.346667;2487;5002;0;0;0;0;0;0;0
1.600000;6;2600;0.346667;1013;5002;0;0;0;0;0;0;0
1.800000;6;2600;0.346667;843;10000;0;0;0;0;0;0;0
2.000000;6;2600;0.346667;488;10000;0;0;0;0;0;0;0
2.200000;6;2600;0.346667;408;10000;0;0;0;0;0;0;0
2.400000;6;2600;0.346667;373;10000;0;0;0;0;0;0;0
2.600000;6;2600;0.346667;359;10000;0;0;0;0;0;0;0
2.800000;6;2600;0.346667;307;10000;0;0;0;0;0;0;0
3.000000;6;2600;0.346667;243;10000;0;0;0;0;0;0;0
3.200000;6;2600;0.346667;261;10000;0;0;0;0;0;0;0
3.400000;6;2600;0.346667;196;10000;0;0;0;0;0;0;0
3.600000;6;2600;0.346667;148;10000;0;0;0;0;0;0;0
3.800000;6;2600;0.346667;154;10000;0;0;0;0;0;0;0
4.000000;6;2600;0.346667;171;10000;0;0;0;0;0;0;0
4.200000;6;2600;0.346667;114;10000;0;0;0;0;0;0;0
4.400000;6;2600;0.346667;123;10000;0;0;0;0;0;0;0
4.600000;6;2600;0.346667;76;10000;0;0;0;0;0;0;0
