SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
8.000000;15;7224;0.481600;4703;5002;0;0;0;0;0;0;0
8.200000;15;7224;0.481600;3302;5002;0;0;0;0;0;0;0
8.400000;15;7224;0.481600;1451;5002;0;0;0;0;0;0;0
8.600000;15;7224;0.481600;874;10000;0;0;0;0;0;0;0
8.800000;15;7224;0.481600;375;10000;0;0;0;0;0;0;0
9.000000;15;7224;0.481600;276;10000;0;0;0;0;0;0;0
9.200000;15;7224;0.481600;259;10000;0;0;0;0;0;0;0
9.400000;15;7224;0.481600;189;10000;0;0;0;0;0;0;0
9.600000;15;7224;0.481600;195;10000;0;0;0;0;0;0;0
9.800000;15;7224;0.481600;169;10000;0;0;0;0;0;0;0
10.000000;15;7224;0.481600;138;10000;0;0;0;0;0;0;0
10.200000;15;7224;0.481600;117;10000;0;0;0;0;0;0;0
10.400000;15;7224;0.481600;106;10000;0;0;0;0;0;0;0
10.600000;15;7224;0.481600;84;10000;0;0;0;0;0;0;0
