SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-12.000000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-11.800000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-11.600000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-11.400000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-11.200000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-11.000000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-10.800000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-10.600000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-10.400000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-10.200000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-10.000000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-9.800000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-9.600000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-9.400000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-9.200000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-9.000000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-8.800000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-8.600000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-8.400000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-8.200000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-8.000000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-7.800000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-7.600000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-7.400000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-7.200000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-7.000000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-6.800000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-6.600000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-6.400000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-6.200000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-6.000000;3;1056;0.283200;502;502;0;0;0;0;0;0;0
-5.800000;3;1056;0.283200;501;502;0;0;0;0;0;0;0
-5.600000;3;1056;0.283200;500;502;0;0;0;0;0;0;0
-5.400000;3;1056;0.283200;498;502;0;0;0;0;0;0;0
-5.200000;3;1056;0.283200;475;502;0;0;0;0;0;0;0
-5.000000;3;1056;0.283200;402;502;0;0;0;0;0;0;0
-4.800000;3;1056;0.283200;322;502;0;0;0;0;0;0;0
-4.600000;3;1056;0.283200;194;502;0;0;0;0;0;0;0
-4.400000;3;1056;0.283200;100;519;0;0;0;0;0;0;0
-4.200000;3;1056;0.283200;100;929;0;0;0;0;0;0;0
-4.000000;3;1056;0.283200;37;1000;0;0;0;0;0;0;0
-3.800000;3;1056;0.283200;22;1000;0;0;0;0;0;0;0
-3.600000;3;1056;0.283200;12;1000;0;0;0;0;0;0;0
-3.400000;3;1056;0.283200;12;1000;0;0;0;0;0;0;0
-3.200000;3;1056;0.283200;8;1000;0;0;0;0;0;0;0
